"","Date","Equity","mCl","sdCl","hits","num_tws","num_rts"
"24",2000-12-01,"NVDA",-0.00526624146735269,0.108332229722866,NA,NA,NA
"25",2001-01-01,"NVDA",0.0266175397141696,0.103027294420277,NA,NA,NA
"26",2001-02-01,"NVDA",-0.00529341454572799,0.0700977430048796,NA,NA,NA
"27",2001-03-01,"NVDA",0.0190813876450916,0.0642307626176393,NA,NA,NA
"28",2001-04-01,"NVDA",0.0144108622010438,0.0625780099091501,NA,NA,NA
"29",2001-05-01,"NVDA",0.00192567880945819,0.037952613401273,NA,NA,NA
"30",2001-06-01,"NVDA",0.00433588819388351,0.0329271058380804,NA,NA,NA
"31",2001-07-01,"NVDA",-0.00530335158075762,0.049862723876846,NA,NA,NA
"32",2001-08-01,"NVDA",0.00244995256112977,0.0306113059644081,NA,NA,NA
"33",2001-09-01,"NVDA",-0.0270137843810149,0.0557452504557948,NA,NA,NA
"34",2001-10-01,"NVDA",0.0218604493205303,0.0711365977820221,NA,NA,NA
"35",2001-11-01,"NVDA",0.0122703089107722,0.0370937983852124,NA,NA,NA
"36",2001-12-01,"NVDA",0.0108079920242066,0.0369041128781019,NA,NA,NA
"37",2002-01-01,"NVDA",-0.000137947611500766,0.0384955212492291,NA,NA,NA
"38",2002-02-01,"NVDA",-0.0123006285452552,0.0450585562065624,NA,NA,NA
"39",2002-03-01,"NVDA",-0.00596771565527336,0.0457105964892453,NA,NA,NA
"40",2002-04-01,"NVDA",-0.0094660321262129,0.0566728926456246,NA,NA,NA
"41",2002-05-01,"NVDA",-0.000529333741786604,0.0519186871748084,NA,NA,NA
"42",2002-06-01,"NVDA",-0.0312970808903008,0.0539093239625949,NA,NA,NA
"43",2002-07-01,"NVDA",-0.0151004042836705,0.0930063864091814,NA,NA,NA
"44",2002-08-01,"NVDA",-0.00211012689731334,0.0658632027402711,NA,NA,NA
"45",2002-09-01,"NVDA",-0.00722495587110492,0.0481804354283401,NA,NA,NA
"46",2002-10-01,"NVDA",0.0160620064541475,0.0590822994139822,NA,NA,NA
"47",2002-11-01,"NVDA",0.0222066815564741,0.0879244729811787,NA,NA,NA
"48",2002-12-01,"NVDA",-0.0177666993538728,0.0450900312711376,NA,NA,NA
"49",2003-01-01,"NVDA",-0.00433203651953148,0.0420713843514597,NA,NA,NA
"50",2003-02-01,"NVDA",0.0120083425667317,0.0563705304688282,NA,NA,NA
"51",2003-03-01,"NVDA",0.00153377401989915,0.0347737768012968,NA,NA,NA
"52",2003-04-01,"NVDA",0.00512886931023007,0.0222641852411668,NA,NA,NA
"53",2003-05-01,"NVDA",0.0319059507942565,0.0795693025828291,NA,NA,NA
"54",2003-06-01,"NVDA",-0.00583043610987333,0.0315494224409396,NA,NA,NA
"55",2003-07-01,"NVDA",-0.00780069516167463,0.0308900722046623,NA,NA,NA
"56",2003-08-01,"NVDA",-0.000850852269261587,0.0535985228604066,NA,NA,NA
"57",2003-09-01,"NVDA",-0.00548681331441488,0.0364758189447676,NA,NA,NA
"58",2003-10-01,"NVDA",0.00455962102830844,0.0218433574486179,NA,NA,NA
"59",2003-11-01,"NVDA",0.0109319362583934,0.0511492618888415,NA,NA,NA
"60",2003-12-01,"NVDA",0.00436832423900935,0.0262056393275811,NA,NA,NA
"61",2004-01-01,"NVDA",-0.00168575050291916,0.0289604318011772,1,NA,NA
"62",2004-02-01,"NVDA",0.000245981221189512,0.0227564390607436,2,NA,NA
"63",2004-03-01,"NVDA",0.00775029749744598,0.0246533049043757,2,NA,NA
"64",2004-04-01,"NVDA",-0.0116209911816673,0.0252140830977395,2,NA,NA
"65",2004-05-01,"NVDA",0.0069506688724285,0.0233352520320314,1,NA,NA
"66",2004-06-01,"NVDA",-0.00621891365844165,0.0220012052951323,3,NA,NA
"67",2004-07-01,"NVDA",-0.0129034639697441,0.0322493722929811,2,NA,NA
"68",2004-08-01,"NVDA",-0.00526309615011796,0.0858716263282782,4,NA,NA
"69",2004-09-01,"NVDA",0.0079126569573684,0.0357640259149682,4,NA,NA
"70",2004-10-01,"NVDA",0.000320417862838648,0.032070807822311,3,NA,NA
"71",2004-11-01,"NVDA",0.0138437070633491,0.03233194363884,4,NA,NA
"72",2004-12-01,"NVDA",0.00972265596701012,0.0211048813340219,4,NA,NA
"73",2005-01-01,"NVDA",-0.00105159065590242,0.0263355376196423,2,NA,NA
"74",2005-02-01,"NVDA",0.0129756132240897,0.0341472462753774,5,NA,NA
"75",2005-03-01,"NVDA",-0.00881299834930933,0.0198793368952014,2,NA,NA
"76",2005-04-01,"NVDA",-0.00352938663159694,0.0242947149536065,3,NA,NA
"77",2005-05-01,"NVDA",0.0105151476144157,0.0290088114144882,6,NA,NA
"78",2005-06-01,"NVDA",-0.000414962474188173,0.0217091586019963,6,NA,NA
"79",2005-07-01,"NVDA",0.000796733011434765,0.0185178024030721,5,NA,NA
"80",2005-08-01,"NVDA",0.00565172761661329,0.0194457271797813,7,NA,NA
"81",2005-09-01,"NVDA",0.00540760491594125,0.015236219293578,5,NA,NA
"82",2005-10-01,"NVDA",-0.000839415882368462,0.0197385265518592,6,NA,NA
"83",2005-11-01,"NVDA",0.0039324903902527,0.0279340580159395,10,NA,NA
"84",2005-12-01,"NVDA",0.000625750614491257,0.0136422114187775,8,NA,NA
"85",2006-01-01,"NVDA",0.0106337274979512,0.0225937702653656,9,NA,NA
"86",2006-02-01,"NVDA",0.00272769797484922,0.0227685055419081,11,NA,NA
"87",2006-03-01,"NVDA",0.00874739187606595,0.0228235166386754,15,NA,NA
"88",2006-04-01,"NVDA",0.00130460685353178,0.0221210118335402,14,NA,NA
"89",2006-05-01,"NVDA",-0.0104741590466686,0.0282694945926044,14,NA,NA
"90",2006-06-01,"NVDA",-0.00284136975244095,0.0364735517951953,9,NA,NA
"91",2006-07-01,"NVDA",0.0030329259643349,0.0480213180135168,13,NA,NA
"92",2006-08-01,"NVDA",0.0126038168505904,0.0369044091772965,15,NA,NA
"93",2006-09-01,"NVDA",0.0011451432665945,0.0261769342915692,14,NA,NA
"94",2006-10-01,"NVDA",0.0081041379271718,0.036271680493973,13,NA,NA
"95",2006-11-01,"NVDA",0.00317010178789679,0.0270141221491453,16,NA,NA
"96",2006-12-01,"NVDA",0.000191500490880885,0.0186047454060673,10,NA,NA
"97",2007-01-01,"NVDA",-0.00893123522798796,0.0305174550505246,11,NA,NA
"98",2007-02-01,"NVDA",0.000864601738043832,0.0236798693871584,10,NA,NA
"99",2007-03-01,"NVDA",-0.00303760514921683,0.0266664061340631,9,NA,NA
"100",2007-04-01,"NVDA",0.00694448366193344,0.0231935398281768,10,NA,NA
"101",2007-05-01,"NVDA",0.00258150971407248,0.0218205105357285,12,NA,NA
"102",2007-06-01,"NVDA",0.00873062642359604,0.0256535937665414,14,NA,NA
"103",2007-07-01,"NVDA",0.00500609270250502,0.0161061050249745,12,NA,NA
"104",2007-08-01,"NVDA",0.0054807146702604,0.0359621864802953,16,NA,NA
"105",2007-09-01,"NVDA",0.00357788381218599,0.0286201235266467,15,NA,NA
"106",2007-10-01,"NVDA",-0.000392477509047341,0.0367440998377486,15,NA,NA
"107",2007-11-01,"NVDA",-0.00446407849937067,0.0454643970924524,18,NA,NA
"108",2007-12-01,"NVDA",0.00407469172529789,0.024372475692687,11,NA,NA
"109",2008-01-01,"NVDA",-0.0139183050035973,0.0541305835003868,16,NA,NA
"110",2008-02-01,"NVDA",-0.00566683591735734,0.050574267364887,16,NA,NA
"111",2008-03-01,"NVDA",-0.00292089539355633,0.0449664552351513,14,NA,NA
"112",2008-04-01,"NVDA",0.00227382006245345,0.034142985257283,15,NA,NA
"113",2008-05-01,"NVDA",0.00924078650532345,0.0307717405412366,19,NA,NA
"114",2008-06-01,"NVDA",-0.0128176888766875,0.0247536697310724,16,NA,NA
"115",2008-07-01,"NVDA",-0.0193669280465806,0.0686942113528567,26,NA,NA
"116",2008-08-01,"NVDA",0.00545732985290869,0.0387381385994703,20,NA,NA
"117",2008-09-01,"NVDA",-0.00652777788746592,0.0521737404855302,16,NA,NA
"118",2008-10-01,"NVDA",-0.00584810345882552,0.0780723394850188,17,NA,NA
"119",2008-11-01,"NVDA",-0.00586091299158653,0.0730236884132538,13,NA,NA
"120",2008-12-01,"NVDA",0.00501793810743806,0.0560507343179128,8,NA,NA
"121",2009-01-01,"NVDA",0.000467401938438204,0.0503706030133349,10,NA,NA
"122",2009-02-01,"NVDA",0.00354852678096189,0.0538490440906052,10,NA,NA
"123",2009-03-01,"NVDA",0.00909850874243411,0.0486865940920686,10,NA,NA
"124",2009-04-01,"NVDA",0.00785747983341599,0.0352204102490824,10,NA,NA
"125",2009-05-01,"NVDA",-0.00360500533659507,0.0487963779497293,11,NA,NA
